time,GPS1,GPS2,A,B,C
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:31,49.744265,13.3691483333333,255,200,94
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,232,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:34,49.744175,13.3691483333333,133,200,66
9:58:35,49.744175,13.3691483333333,133,200,66
9:58:35,49.744175,13.3691483333333,133,200,66
9:58:35,49.744175,13.3691483333333,120,200,66
9:58:35,49.744175,13.3691483333333,120,200,66
9:58:35,49.744175,13.3691483333333,120,200,66
9:58:35,49.744175,13.3691483333333,120,200,66
9:58:35,49.744175,13.3691483333333,120,200,66
9:58:35,49.744175,13.3691483333333,119,200,66
9:58:35,49.744175,13.3691483333333,116,200,66
9:58:35,49.744175,13.3691483333333,116,200,66
9:58:35,49.744175,13.3691483333333,116,200,66
9:58:35,49.744175,13.3691483333333,116,200,66
9:58:35,49.744175,13.3691483333333,116,200,66
9:58:35,49.744175,13.3691483333333,116,200,66
9:58:35,49.744175,13.3691483333333,111,200,66
9:58:35,49.744175,13.3691483333333,111,200,66
9:58:35,49.744175,13.3691483333333,133,200,79
9:58:35,49.744175,13.3691483333333,133,200,79
9:58:35,49.744175,13.3691483333333,133,200,79
9:58:35,49.744175,13.3691483333333,134,200,79
9:58:35,49.744175,13.3691483333333,134,200,79
9:58:35,49.744175,13.3691483333333,134,200,79
9:58:35,49.744175,13.3691483333333,134,200,79
9:58:35,49.744175,13.3691483333333,130,200,79
9:58:35,49.744175,13.3691483333333,130,200,79
9:58:36,49.744175,13.3691483333333,130,200,79
9:58:36,49.744175,13.3691483333333,130,200,79
9:58:36,49.744175,13.3691483333333,130,200,79
9:58:36,49.744175,13.3691483333333,130,200,79
9:58:36,49.744175,13.3691483333333,119,200,79
9:58:36,49.744175,13.3691483333333,119,200,79
9:58:36,49.744175,13.3691483333333,115,200,79
9:58:36,49.744175,13.3691483333333,115,200,79
9:58:36,49.744175,13.3691483333333,115,200,79
9:58:36,49.744175,13.3691483333333,115,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,118,200,79
9:58:36,49.744175,13.3691483333333,109,200,76
9:58:36,49.744175,13.3691483333333,109,200,76
9:58:36,49.744175,13.3691483333333,109,200,76
9:58:36,49.744175,13.3691483333333,111,200,76
9:58:36,49.744175,13.3691483333333,111,200,76
9:58:36,49.744175,13.3691483333333,111,200,76
9:58:36,49.744175,13.3691483333333,112,200,76
9:58:36,49.744175,13.3691483333333,112,200,76
9:58:36,49.744175,13.3691483333333,112,200,76
9:58:36,49.744175,13.3691483333333,116,200,76
9:58:37,49.744175,13.3691483333333,116,200,76
9:58:37,49.744175,13.3691483333333,116,200,76
9:58:38,49.74407,13.369155,139,200,66
9:58:38,49.74407,13.369155,139,200,66
9:58:38,49.74407,13.369155,139,200,66
9:58:38,49.74407,13.369155,139,200,66
9:58:38,49.74407,13.369155,139,200,66
9:58:38,49.74407,13.369155,136,200,66
9:58:38,49.74407,13.369155,136,200,66
9:58:38,49.74407,13.369155,136,200,66
9:58:38,49.74407,13.369155,136,200,66
9:58:38,49.74407,13.369155,131,200,66
9:58:39,49.74407,13.369155,131,200,66
9:58:39,49.74407,13.369155,131,200,66
9:58:39,49.74407,13.369155,131,200,66
9:58:39,49.74407,13.369155,131,200,66
9:58:39,49.74407,13.369155,131,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,125,200,66
9:58:39,49.74407,13.369155,120,200,66
9:58:39,49.74407,13.369155,120,200,66
9:58:39,49.74407,13.369155,120,200,66
9:58:39,49.74407,13.369155,120,200,66
9:58:39,49.74407,13.369155,120,200,66
9:58:39,49.74407,13.369155,117,200,66
9:58:39,49.74407,13.369155,118,200,66
9:58:39,49.74407,13.369155,118,200,66
9:58:41,49.7439356,13.3690882,152,200,95
9:58:41,49.7439356,13.3690882,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,95
9:58:41,49.74397,13.3691566666667,152,200,89
